title,link,address,company,short_description,rich_description,salary,skils
Начинающий специалист технической поддержки L2 (IT) / 2 уровень технической поддержки,https://hh.ru/vacancy/131955492?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Evercode Lab,Готовность быстро осваивать продукт и постоянно учиться новому. Желание развиваться в,,,
Руководитель IT проектов,https://hh.ru/vacancy/119227637?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,СОЛВО,"Опытом внедрения ПО корпоративного уровня в качестве менеджера проекта. Пониманием процессов разработки ПО. Развитыми коммуникативными навыками, умением вести переговоры с...",,,
Менеджер по продажам в IT компанию,https://hh.ru/vacancy/131924782?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Авдощенко Евгений Викторович (Mode-web),Уверенное владение ПК (разберешься в CRM за пару дней). Будет преимуществом: Опыт работы в,,"от 120 000 ₽ за месяц, на руки",
Продюсер в EdTech / IT (несколько продуктов),https://hh.ru/vacancy/131912547?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Интеллектуал Групп,Опыт в инфобиз от 3 лет. Есть портфолио с продюсированными вами проектами. Приветствуется опыт нише в EdTech или,,"200 000 – 300 000 ₽ за месяц, на руки",
Шофер в IT-сервис на автомобиле компании по развозу малогабаритных посылок и документов,https://hh.ru/vacancy/131957897?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ИП Кондратьев Андрей Аркадьевич,Компактные и аккуратные заказы. -Права категории B. -Смартфон (iOS/Android). -Желание работать и зарабатывать.,,"до 275 000 ₽ за месяц, до вычета налогов",
Менеджер по продажам в IT-компанию,https://hh.ru/vacancy/131818614?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Контур,"Готовы обучаться и развивать навыки в продажах и переговорах. Преимуществом будет опыт работы с клиентами, в",,"от 75 000 ₽ за месяц, на руки",
Менеджер по продажам IT B2B,https://hh.ru/vacancy/131926274?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,AIINS,Опыт в активных B2B-продажах,,"150 000 – 250 000 ₽ за месяц, на руки",
Преподаватель IT в детскую онлайн-школу,https://hh.ru/vacancy/131901809?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Спринг,Уверенное владение минимум тремя преподаваемыми дисциплинами. Грамотная речь и хорошая дикция. Умение находить подход к детям и поддерживать их интерес.,,"60 000 – 90 000 ₽ за месяц, до вычета налогов",
Руководитель отдела продаж в IT-компании,https://hh.ru/vacancy/131586016?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Василеостровский",ООО Норд Клан,Успешный непрерывный опыт управления отделом продаж в,,,
Наставник по IT-направлениям в Онлайн-Школу,https://hh.ru/vacancy/131475809?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Rebotica,"Возможность работать от 25 часов в неделю. Работа подразумевает онлайн-формат — необходимо наличие рабочего ПК, веб-камеры и микрофона.",,"до 80 000 ₽ за месяц, на руки",
Сервисный инженер (IT-специалист),https://hh.ru/vacancy/131877997?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Арсенал мастеров,Знания основных офисных программ и приложений. Умение быстро находить неисправность оборудования и устранять её. Чтение технической документации и подбор запасных...,,"50 000 – 60 000 ₽ за месяц, на руки",
Ассистент менеджера по продажам в IT,https://hh.ru/vacancy/131449295?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ДАКОМ М,Знание и понимание специфики отрасли. Целеустремленность и ориентированность на результат. Грамотная устная и письменная речь. Умение работать в режиме многозадачности...,,,
Менеджер по продажам IT (B2B),https://hh.ru/vacancy/131222434?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Кировский",System Code,"Наставничество от топ-менеджеров – бери опыт у тех, кто уже зарабатывает 250+ тыс. . Лидерская культура – работаешь в сильной, мотивированной...",,"150 000 – 250 000 ₽ за месяц, до вычета налогов",
"Менеджер по продажам (IT, без холодного поиска)",https://hh.ru/vacancy/131130284?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,SEOWORK,"Обязателен опыт продаж в B2B, желательно —",,,
Руководитель отдела продаж IT,https://hh.ru/vacancy/131313827?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,Успешный опыт наставничества или построения отдела продаж / отдела по работе с клиентами. Опыт работы в B2B и продаже...,,,
IT-специалист / Системный администратор,https://hh.ru/vacancy/131150627?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ГАРВИН (ГК ГаражТулс),"Знание и практический опыт администрирования Windows Server (AD, DNS, DHCP, GPO). Опыт работы с Linux (командная строка, установка и базовая...",,,
Юрисконсульт в IT-компанию,https://hh.ru/vacancy/131422614?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,"Assino, Группа компаний","Высшее юридическое образование. Аналогичный опыт работы инхаус (в компании, реализующей сложные услуги) или в консалтинге в качестве самостоятельного юриста.",,,
Продакт-менеджер в IT,https://hh.ru/vacancy/129714818?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Вологодское зодчество,Опыт Product Manager / Product Owner в B2B,,"от 150 000 ₽ за месяц, на руки",
Менеджер по продажам b2b в IT,https://hh.ru/vacancy/131138712?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Имакс Драйв,"Высшее образование, предпочтительно техническое или менеджмент. Опыт работы на рынке автотранспорта. Опыт работы в региональных продажах B2B.",,"120 000 – 250 000 ₽ за месяц, на руки",
Аккаунт менеджер в IT компанию,https://hh.ru/vacancy/131886541?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Маниселлерс,"Опыт удаленной работы. Высокий уровень коммуникации. Грамотная устная и письменная речь, навыки делового общения. Искренняя заинтересованность развиваться в",,,
"Менеджер проектных продаж (IT, B2B)",https://hh.ru/vacancy/131450352?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,"Мы работаем в B2B, поэтому подойдет опыт работы в продаже оборудования только этого сектора. У нас сложный продукт...",,,
Ведущий инженер по IT-инфраструктуре,https://hh.ru/vacancy/125852739?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Defa Group,"Сертификаты Microsoft, Linux, а также по управлению проектами в",,,
Менеджер проектных продаж IT (Enterprise),https://hh.ru/vacancy/131882230?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Айдеко,...в проектных продажах с циклом сделки от 2х месяцев до 1 года. Опыт в,,,
Менеджер отдела продаж В2В (it продукт),https://hh.ru/vacancy/131607021?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,CATAPULTO.RU,Опыт работы в телефонных продажах от 6 месяцев. Умение устанавливать контакт с клиентом и презентовать продукт. Грамотная устная и письменная...,,"150 000 – 180 000 ₽ за месяц, на руки",
Водитель IT-компании категория В (на логистические поручения),https://hh.ru/vacancy/129357180?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ДостаВерно,"Никаких сложностей – опыт не требуется, стаж вождения – не важен! Права категории B – ваш ключ к новым возможностям! Готовность к работе...",,"180 000 – 250 000 ₽ за месяц, на руки",
Аккаунт-менеджер в IT компанию,https://hh.ru/vacancy/131870048?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Moby-Tech,"Опыт работы в продажах будет плюсом, но НЕ обязателен. Отсутствие страха звонка и готовность учиться. Умеешь зацепить, заинтересовать в общении...",,"от 100 000 ₽ за месяц, на руки",
Менеджер по оптовым продажам (IT и системы безопасности),https://hh.ru/vacancy/131454193?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Борн СПб,"Умение работать в режиме многозадачности (звонки, письма, уточнения и т.д). Готовность много общаться с людьми. Знание ПК на уровне...",,"105 000 – 160 000 ₽ за месяц, на руки",
Business development manager (IT) (машинное зрение и нейросети),https://hh.ru/vacancy/131480887?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Василеостровский",ООО Норд Клан,Опыт работы в должности менеджера по продажам B2B продаж от 3-х лет (преимущественно с крупными производственными компаниями).,,,
Менеджер по продажам в IT,https://hh.ru/vacancy/131370002?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Skyeng,"Имеешь опыт удаленных продаж от 1 года (в B2C-сфере, онлайн-продукты или услуги). Умеешь слышать клиента, работать...",,"160 000 – 300 000 ₽ за месяц, на руки",
